name file,test on,configuration,train on (if not spec),loss,n_epochs,evaluation with...,average,tt_x,tt_y,td_x,td_y,tb_x,tb_y,li_x,li_y,ul_x,ul_y,ll_x,ll_y,la,lp,ttcl,tbcl,v_x,v_y
F01_spec_loss_90_filter_fix_bn_False_3,F01,spec,,90,26,rmse_on_test,1.3277089996258082,1.7516226134553248,1.9772819569166533,1.5303867566469138,2.485288743927937,1.984126714749066,1.7258702356784696,0.9351455079142283,1.2716939572177628,0.7995806240680128,0.994844226106692,1.1145301879609015,1.7606560916739193,2.041034461111095,0.8279015820132996,0.03812877015343654,0.005251564419222101,0.0,0.0
F01_spec_loss_90_filter_fix_bn_False_3,F01,spec,,90,26,pearson_on_test,0.8796378132588103,0.9124114681384666,0.9098533587831851,0.8959840567845533,0.8574360567103255,0.9114730622311783,0.9110376844040855,0.8881441079984195,0.9166924417588574,0.8182701549149828,0.8329433404424511,0.8634585300082476,0.8887284232797834,0.883406677723948,0.8533948958853941,0.8844887561663283,0.8464819969107575,0.0,0.0
F01_spec_loss_90_filter_fix_bn_False_3,F01,spec,,90,26,pearson_on_valid,0.8699131224209757,0.905128772643847,0.8971827282820571,0.8825601850021428,0.8682155689300544,0.9086320423882382,0.9090955507840169,0.8815705560325501,0.9114349958786562,0.8021139555142549,0.8098619572652089,0.8538230341191492,0.884955160426333,0.8753939233185148,0.8346958997724879,0.8652103973866182,0.8287352309914829,0.0,0.0
F01_spec_loss_90_filter_out_bn_False_0,F01,spec,,90,28,rmse_on_test,1.285632707390197,1.7148963487042221,1.9162317442921706,1.4829100785705975,2.439196441723351,1.9441655619434153,1.6533117625915195,0.8939731703314008,1.237648338105888,0.7691844728887769,0.9592352848242691,1.0558791139211783,1.7048070458421276,1.9716006220586957,0.7854720805680668,0.03662556984173661,0.004985682035733599,0.0,0.0
F01_spec_loss_90_filter_out_bn_False_0,F01,spec,,90,28,pearson_on_test,0.8891221520830128,0.9160424670149404,0.9161047207255043,0.9000637366592034,0.865227723136872,0.9165662984295087,0.9182457460553791,0.901309147669034,0.9230875892307808,0.8327369472627995,0.8421115875662903,0.8809303966324529,0.8967198153380197,0.8891295830885932,0.8690585175542608,0.8949782855533291,0.8636418714112364,0.0,0.0
F01_spec_loss_90_filter_out_bn_False_0,F01,spec,,90,28,pearson_on_valid,0.8766379299552167,0.9117782185046429,0.9063078846837646,0.8855409495810891,0.8734271284334971,0.9140496575715387,0.9131110330351124,0.8970751656280835,0.9156305546060578,0.8017270665606105,0.8172198636408764,0.8664997816090183,0.88796215409286,0.8774672282659642,0.8442762468547895,0.8787364432077936,0.8353975030077677,0.0,0.0
F01_indep_onfi_loss_90_filter_out_bn_False_12,F01,indep,onfi_,90,17,rmse_on_test,1.5225871074404198,2.0921210498419653,2.3428927735784395,1.7111650169991166,2.8915652712970616,2.3026461257311044,2.1019248636397396,1.0550763366770826,1.4549704683041946,0.9170827800987017,1.097626152169182,1.260611100128257,1.9131608022744158,2.2206009233797435,0.9489909352586644,0.044764256535789596,0.006194863133260239,0.0,0.0
F01_indep_onfi_loss_90_filter_out_bn_False_12,F01,indep,onfi_,90,17,pearson_on_test,0.8432255567829509,0.8810749917005656,0.8812572371349927,0.8710140071744493,0.8094188571260365,0.8786470316785538,0.8649688306576411,0.8578662172087324,0.8938923047141115,0.762039219924014,0.7918398938569106,0.8261344372472661,0.869954486750613,0.8627424994644968,0.8060969051134405,0.8444343969636336,0.7902275918117567,0.0,0.0
F01_indep_onfi_loss_90_filter_out_bn_False_12,F01,indep,onfi_,90,17,pearson_on_valid,0.8017968495099217,0.8350579136242448,0.8312340559786171,0.8176224359999335,0.813332839089806,0.8211113482161544,0.8753366501194229,0.8056294626303968,0.8572770071427286,0.7140132859711682,0.711285500680502,0.7832270574431421,0.8422388769368737,0.8365782052210804,0.7794895028070673,0.7532345723882211,0.7520808779093885,0.0,0.0
F01_spec_loss_90_filter_out_bn_False_3,F01,spec,,90,41,rmse_on_test,3.147667419556436,3.2091990359944402,3.6694254880222243,4.131406018315543,4.180952748190723,6.417585487077115,4.189745167189667,1.5236770037685243,2.26688048967339,1.3287299406872137,1.7487701438617567,1.9579700923401968,0.0
F01_spec_loss_90_filter_out_bn_False_3,F01,spec,,90,41,pearson_on_test,0.6151779902658856,0.6972466402982238,0.7491849479556084,0.5060730261403026,0.5900180216221241,0.43416599989699534,0.529465248435256,0.7266387380989046,0.7380225583338662,0.4547050726721944,0.6482774901392268,0.6931601493320385,0.0
F01_spec_loss_90_filter_out_bn_False_3,F01,spec,,90,41,pearson_on_valid,0.6198987001351274,0.6994933590184725,0.7264299623686504,0.5294603708885361,0.6739221782343572,0.4517702030112024,0.5935379198022028,0.7114056393700764,0.7314400215610881,0.43183508669679643,0.6108431462540085,0.6587478142810091,0.0
F01_spec_loss_90_filter_out_bn_False_4,F01,spec,,90,44,rmse_on_test,2.0885840101519615,2.139544607169264,2.4409363852112786,2.9403034940039827,2.8088913426080047,2.955647957588998,3.242542912246029,1.1087657986335728,1.8288805328333753,0.979700792649332,1.196286745476068,1.3329235432516677,0.0
F01_spec_loss_90_filter_out_bn_False_4,F01,spec,,90,44,pearson_on_test,0.7849282734596605,0.8616778116489198,0.8817626023387525,0.6047062208762694,0.843213407152907,0.7710806986446765,0.7747541422373454,0.8410938062898654,0.8005322030601256,0.6750214431461353,0.7404623464655248,0.8399063261957446,0.0
